Country_Code,Country_Name,Indicator_Code,Indicator_Name,Number of Records,Year,Value
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,15258
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,31402
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,56055
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,22708
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,29444
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,27650
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,26836
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,29644
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,28333
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1983,11849
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,30528
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,29677
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,23214
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,31263
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,30909
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,52464
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,32717
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,57913
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,39167
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,27851
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,27785
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,12897
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1984,16658
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,33359
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,59735
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,31645
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,30817
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,40674
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,28285
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,28499
HKG,"Hong Kong SAR, China",NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,12813
NLD,Netherlands,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,31224
NOR,Norway,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,55695
SGP,Singapore,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,16775
GBR,United Kingdom,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,24065
USA,United States,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1985,32180
AUS,Australia,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,32282
CAN,Canada,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,31072
SWE,Sweden,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,34419
CHE,Switzerland,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,60130
DNK,Denmark,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,42706
FRA,France,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,28944
DEU,Germany,NY.GNP.PCAP.KD,"GNI_Per_Capita",1,1986,29099
